% Moku:Go Logic Analyzer
% Pin 1 - A0 - Output 1
% Pin 2 - B0 - Output 1
% Pin 8 - C in - Output 1
% Pin 3 - S0 - Input
% Pin 4 - A1 - Output 1
% Pin 5 - B1 - Output 1
% Pin 6 - S1 - Input
% Pin 7 - C1 - Input
% Time span 28.94 ms, time offset -10.62 us
% Basic trigger, Auto mode, Pin 1, Rising edge
% Pattern Generator 1: 10 values, divider 200,000, baud rate 625
% Pattern Generator 2: 8 values, divider 125, baud rate 1,000,000
% 
% Acquired 2025-10-24 T 15:17:15 +0530
% Time (s), Pin 1 - A0, Pin 2 - B0, Pin 8 - C in, Pin 3 - S0, Pin 4 - A1, Pin 5 - B1, Pin 6 - S1, Pin 7 - C1
-7.237120000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.208800000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.180480000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.152160000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.123840000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.095520000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.067200000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.038880000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.010560000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.982240000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.953920000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.925600000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.897280000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.868960000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.840640000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.812320000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.784000000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.755680000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.727360000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.699040000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.670720000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.642400000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.614080000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.585760000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.557440000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.529120000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.500800000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.472480000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.444160000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-6.415840000000e-03, 0.5, 0.5, 0.5, 0, 0.5, 0.5, 0.5, 0.5
-6.387520000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.359200000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.330880000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.302560000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.274240000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.245920000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.217600000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.189280000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.160960000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.132640000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.104320000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.076000000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.047680000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-6.019360000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.991040000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.962720000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.934400000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
